Supplier_ID,Supplier_Name,Ingredient_Code,Ingredient_Name,CAS_Number,Purity,Batch_Number,Physical_State,pH,Toxicity_Profile,Solubility,Stability_Info,Recommended_Usage,Regulatory_Status,Shelf_Life,Lead_Time_for_Delivery,Availability,Cost_per_Unit,Safety_Data_Sheet,Transport_Conditions
SUP_1428,Prime Chemicals,ING_57280,Ammonium Chloride,7681-52-9,92.84%,BN_5383_12,Solid,5.04,Non-Toxic,Insoluble,Stable under 25°C,9.11%,REACH Compliant,33 months,3 working days,In Stock,₹342.04 / unit,https://supplierportal.com/SDS/5669,Hazardous Material
SUP_7715,ABC Chemicals Pvt Ltd,ING_73445,Hydrochloric Acid,12125-02-9,96.18%,BN_5100_09,Liquid,11.63,Corrosive,Soluble in water,Stable under 25°C,9.88%,Non-Compliant,11 months,8 working days,Out of Stock,₹793.27 / unit,https://supplierportal.com/SDS/7699,Fragile
SUP_7696,XYZ Suppliers,ING_49235,Sulfuric Acid,7664-93-9,98.85%,BN_4510_10,Gas,13.88,Non-Toxic,Partially soluble,Avoid sunlight,4.68%,Non-Compliant,14 months,9 working days,Limited Stock,₹421.30 / unit,https://supplierportal.com/SDS/6298,Hazardous Material
SUP_3166,Prime Chemicals,ING_78636,Citric Acid,7664-93-9,97.92%,BN_4836_10,Gas,10.2,Corrosive,Soluble in water,Stable under 25°C,4.59%,REACH Compliant,22 months,4 working days,In Stock,₹585.48 / unit,https://supplierportal.com/SDS/9373,Hazardous Material
SUP_6044,Prime Chemicals,ING_16480,Citric Acid,77-92-9,98.32%,BN_2681_07,Solid,6.02,Irritant,Partially soluble,Avoid sunlight,2.59%,Non-Compliant,27 months,5 working days,In Stock,₹713.61 / unit,https://supplierportal.com/SDS/7187,Hazardous Material
SUP_2923,Prime Chemicals,ING_94606,Sulfuric Acid,77-92-9,96.98%,BN_1563_09,Solid,7.38,Non-Toxic,Soluble in water,Avoid sunlight,5.74%,REACH Compliant,16 months,14 working days,Limited Stock,₹989.42 / unit,https://supplierportal.com/SDS/2857,Hazardous Material
SUP_1283,XYZ Suppliers,ING_86750,Ammonium Chloride,7647-01-0,99.51%,BN_2043_03,Solid,3.65,Corrosive,Insoluble,Avoid sunlight,5.13%,Non-Compliant,33 months,3 working days,Out of Stock,₹923.98 / unit,https://supplierportal.com/SDS/9592,Handle with care
SUP_3983,XYZ Suppliers,ING_38926,Sulfuric Acid,7664-93-9,94.91%,BN_7550_05,Gas,4.41,Non-Toxic,Partially soluble,Keep refrigerated,9.86%,Non-Compliant,22 months,12 working days,Limited Stock,₹981.40 / unit,https://supplierportal.com/SDS/6184,Fragile
SUP_7489,Prime Chemicals,ING_70226,Sodium Hypochlorite,77-92-9,99.98%,BN_7667_12,Solid,13.23,Non-Toxic,Partially soluble,Avoid sunlight,9.56%,REACH Compliant,12 months,13 working days,In Stock,₹360.50 / unit,https://supplierportal.com/SDS/3301,Handle with care
SUP_8397,Global Chem Ltd,ING_18816,Citric Acid,7647-01-0,95.25%,BN_1336_08,Gas,8.55,Irritant,Soluble in water,Avoid sunlight,2.22%,REACH Compliant,15 months,12 working days,In Stock,₹355.67 / unit,https://supplierportal.com/SDS/8319,Fragile
SUP_8100,Prime Chemicals,ING_74937,Ammonium Chloride,7647-01-0,91.46%,BN_7606_06,Liquid,9.9,Non-Toxic,Partially soluble,Keep refrigerated,7.00%,Non-Compliant,31 months,11 working days,Limited Stock,₹244.10 / unit,https://supplierportal.com/SDS/5663,Fragile
SUP_4320,Prime Chemicals,ING_16445,Ammonium Chloride,77-92-9,97.53%,BN_7689_01,Gas,8.63,Non-Toxic,Insoluble,Keep refrigerated,4.28%,Non-Compliant,20 months,12 working days,Out of Stock,₹430.43 / unit,https://supplierportal.com/SDS/4280,Handle with care
SUP_8194,ABC Chemicals Pvt Ltd,ING_88423,Ammonium Chloride,7647-01-0,95.58%,BN_5268_08,Solid,13.6,Non-Toxic,Soluble in water,Keep refrigerated,4.83%,REACH Compliant,32 months,3 working days,In Stock,₹739.03 / unit,https://supplierportal.com/SDS/6012,Fragile
SUP_6645,Prime Chemicals,ING_34716,Hydrochloric Acid,7664-93-9,94.31%,BN_3428_02,Solid,7.34,Corrosive,Insoluble,Stable under 25°C,3.22%,REACH Compliant,35 months,7 working days,In Stock,₹657.79 / unit,https://supplierportal.com/SDS/9123,Fragile
SUP_5188,Prime Chemicals,ING_31072,Ammonium Chloride,7681-52-9,94.44%,BN_6673_03,Solid,11.62,Non-Toxic,Partially soluble,Stable under 25°C,8.12%,Non-Compliant,28 months,13 working days,In Stock,₹498.10 / unit,https://supplierportal.com/SDS/3056,Hazardous Material
SUP_2441,Global Chem Ltd,ING_41385,Citric Acid,7664-93-9,96.42%,BN_1847_05,Solid,4.71,Irritant,Partially soluble,Stable under 25°C,6.70%,REACH Compliant,33 months,9 working days,Out of Stock,₹226.15 / unit,https://supplierportal.com/SDS/7972,Hazardous Material
SUP_4894,XYZ Suppliers,ING_67262,Sulfuric Acid,7681-52-9,93.00%,BN_6802_02,Liquid,5.84,Non-Toxic,Soluble in water,Keep refrigerated,7.00%,REACH Compliant,18 months,14 working days,In Stock,₹151.81 / unit,https://supplierportal.com/SDS/8726,Fragile
SUP_1455,Global Chem Ltd,ING_97584,Hydrochloric Acid,77-92-9,92.91%,BN_5103_01,Liquid,1.55,Corrosive,Soluble in water,Stable under 25°C,3.56%,REACH Compliant,31 months,4 working days,Out of Stock,₹151.67 / unit,https://supplierportal.com/SDS/4400,Handle with care
SUP_2408,Global Chem Ltd,ING_36719,Sodium Hypochlorite,77-92-9,93.16%,BN_2731_06,Gas,12.07,Corrosive,Insoluble,Keep refrigerated,9.02%,REACH Compliant,23 months,12 working days,Limited Stock,₹518.61 / unit,https://supplierportal.com/SDS/6831,Fragile
SUP_3106,Prime Chemicals,ING_73419,Sodium Hypochlorite,7647-01-0,93.71%,BN_3281_02,Liquid,6.28,Corrosive,Insoluble,Keep refrigerated,1.18%,Non-Compliant,24 months,3 working days,Out of Stock,₹382.27 / unit,https://supplierportal.com/SDS/7262,Fragile
SUP_9340,XYZ Suppliers,ING_92922,Citric Acid,7681-52-9,96.08%,BN_6788_09,Solid,11.92,Corrosive,Soluble in water,Stable under 25°C,4.59%,REACH Compliant,11 months,11 working days,In Stock,₹609.75 / unit,https://supplierportal.com/SDS/8613,Hazardous Material
SUP_5139,XYZ Suppliers,ING_49255,Sodium Hypochlorite,7681-52-9,92.73%,BN_1491_07,Liquid,12.8,Corrosive,Insoluble,Avoid sunlight,7.05%,REACH Compliant,34 months,9 working days,Limited Stock,₹931.60 / unit,https://supplierportal.com/SDS/8234,Hazardous Material
SUP_9854,Global Chem Ltd,ING_86606,Ammonium Chloride,77-92-9,93.68%,BN_6941_06,Liquid,11.02,Corrosive,Soluble in water,Stable under 25°C,3.37%,Non-Compliant,13 months,11 working days,Limited Stock,₹165.67 / unit,https://supplierportal.com/SDS/8200,Fragile
SUP_8192,ABC Chemicals Pvt Ltd,ING_95809,Hydrochloric Acid,77-92-9,91.89%,BN_2796_06,Liquid,2.46,Non-Toxic,Partially soluble,Avoid sunlight,7.47%,Non-Compliant,32 months,12 working days,Out of Stock,₹151.74 / unit,https://supplierportal.com/SDS/9973,Fragile
SUP_3364,ABC Chemicals Pvt Ltd,ING_33300,Hydrochloric Acid,7647-01-0,93.36%,BN_9517_12,Gas,10.42,Non-Toxic,Partially soluble,Stable under 25°C,1.28%,REACH Compliant,33 months,12 working days,In Stock,₹966.40 / unit,https://supplierportal.com/SDS/3221,Handle with care
SUP_3416,Prime Chemicals,ING_41680,Citric Acid,77-92-9,92.38%,BN_4785_05,Solid,5.73,Corrosive,Soluble in water,Stable under 25°C,4.25%,Non-Compliant,21 months,6 working days,Out of Stock,₹110.96 / unit,https://supplierportal.com/SDS/5726,Fragile
SUP_6000,XYZ Suppliers,ING_24426,Ammonium Chloride,7664-93-9,98.43%,BN_5960_02,Gas,11.04,Corrosive,Insoluble,Avoid sunlight,1.87%,REACH Compliant,26 months,11 working days,Out of Stock,₹309.63 / unit,https://supplierportal.com/SDS/2638,Handle with care
SUP_1375,Global Chem Ltd,ING_80201,Citric Acid,7664-93-9,96.52%,BN_7273_08,Solid,9.19,Irritant,Soluble in water,Keep refrigerated,8.28%,Non-Compliant,30 months,6 working days,Out of Stock,₹622.43 / unit,https://supplierportal.com/SDS/7200,Fragile
SUP_4578,Prime Chemicals,ING_21583,Citric Acid,77-92-9,90.30%,BN_1025_02,Liquid,10.39,Irritant,Soluble in water,Keep refrigerated,7.12%,Non-Compliant,14 months,14 working days,In Stock,₹481.45 / unit,https://supplierportal.com/SDS/5637,Fragile
SUP_6750,Prime Chemicals,ING_63020,Ammonium Chloride,7647-01-0,95.23%,BN_8934_10,Solid,5.68,Irritant,Partially soluble,Avoid sunlight,1.11%,REACH Compliant,19 months,14 working days,Out of Stock,₹773.31 / unit,https://supplierportal.com/SDS/2379,Handle with care
SUP_9788,Prime Chemicals,ING_78323,Ammonium Chloride,7681-52-9,94.32%,BN_5849_07,Gas,8.09,Corrosive,Soluble in water,Stable under 25°C,2.07%,Non-Compliant,22 months,12 working days,Limited Stock,₹762.83 / unit,https://supplierportal.com/SDS/8530,Hazardous Material
SUP_5262,Prime Chemicals,ING_69579,Ammonium Chloride,77-92-9,98.32%,BN_9669_11,Liquid,5.9,Irritant,Soluble in water,Stable under 25°C,2.82%,REACH Compliant,9 months,10 working days,Out of Stock,₹499.20 / unit,https://supplierportal.com/SDS/2577,Hazardous Material
SUP_4177,Prime Chemicals,ING_69138,Citric Acid,7647-01-0,94.66%,BN_7413_12,Solid,9.42,Non-Toxic,Insoluble,Stable under 25°C,8.93%,Non-Compliant,23 months,5 working days,In Stock,₹595.16 / unit,https://supplierportal.com/SDS/5478,Hazardous Material
SUP_5227,Prime Chemicals,ING_73028,Sulfuric Acid,7681-52-9,97.32%,BN_6014_01,Liquid,11.03,Non-Toxic,Insoluble,Avoid sunlight,6.95%,Non-Compliant,19 months,12 working days,Out of Stock,₹617.79 / unit,https://supplierportal.com/SDS/6616,Hazardous Material
SUP_6482,ABC Chemicals Pvt Ltd,ING_33170,Ammonium Chloride,7664-93-9,98.53%,BN_6800_05,Solid,2.23,Non-Toxic,Partially soluble,Stable under 25°C,4.35%,REACH Compliant,15 months,8 working days,Limited Stock,₹354.43 / unit,https://supplierportal.com/SDS/8786,Fragile
SUP_2387,Global Chem Ltd,ING_83933,Ammonium Chloride,12125-02-9,94.77%,BN_3603_11,Liquid,3.46,Corrosive,Insoluble,Avoid sunlight,5.45%,Non-Compliant,9 months,10 working days,In Stock,₹525.34 / unit,https://supplierportal.com/SDS/7068,Handle with care
SUP_8180,Global Chem Ltd,ING_97703,Citric Acid,7681-52-9,94.43%,BN_7866_07,Solid,3.08,Non-Toxic,Insoluble,Keep refrigerated,2.64%,REACH Compliant,13 months,4 working days,In Stock,₹949.45 / unit,https://supplierportal.com/SDS/1172,Handle with care
SUP_1063,Prime Chemicals,ING_56255,Ammonium Chloride,12125-02-9,99.22%,BN_2404_11,Solid,8.76,Non-Toxic,Soluble in water,Stable under 25°C,5.66%,REACH Compliant,35 months,5 working days,In Stock,₹246.26 / unit,https://supplierportal.com/SDS/2558,Handle with care
SUP_1810,XYZ Suppliers,ING_51695,Sulfuric Acid,77-92-9,93.03%,BN_6353_06,Gas,11.45,Irritant,Soluble in water,Stable under 25°C,5.64%,REACH Compliant,32 months,6 working days,Out of Stock,₹932.47 / unit,https://supplierportal.com/SDS/9883,Hazardous Material
SUP_2707,ABC Chemicals Pvt Ltd,ING_38209,Hydrochloric Acid,77-92-9,95.60%,BN_9106_01,Solid,6.09,Non-Toxic,Partially soluble,Keep refrigerated,9.88%,Non-Compliant,20 months,13 working days,Limited Stock,₹452.09 / unit,https://supplierportal.com/SDS/9332,Fragile
SUP_3177,XYZ Suppliers,ING_76417,Sodium Hypochlorite,7647-01-0,93.04%,BN_5448_05,Gas,11.75,Non-Toxic,Partially soluble,Keep refrigerated,5.91%,Non-Compliant,14 months,5 working days,Limited Stock,₹377.06 / unit,https://supplierportal.com/SDS/7850,Hazardous Material
SUP_3732,ABC Chemicals Pvt Ltd,ING_48377,Ammonium Chloride,12125-02-9,93.93%,BN_8488_07,Gas,4.99,Non-Toxic,Soluble in water,Stable under 25°C,3.50%,REACH Compliant,35 months,3 working days,In Stock,₹102.26 / unit,https://supplierportal.com/SDS/1757,Handle with care
SUP_8488,Prime Chemicals,ING_61190,Hydrochloric Acid,77-92-9,92.28%,BN_5589_12,Liquid,3.75,Non-Toxic,Partially soluble,Avoid sunlight,1.77%,Non-Compliant,9 months,3 working days,Out of Stock,₹208.01 / unit,https://supplierportal.com/SDS/2387,Handle with care
SUP_9290,XYZ Suppliers,ING_73882,Hydrochloric Acid,12125-02-9,91.43%,BN_2142_03,Gas,9.63,Corrosive,Partially soluble,Stable under 25°C,1.96%,REACH Compliant,31 months,10 working days,Limited Stock,₹753.28 / unit,https://supplierportal.com/SDS/2051,Fragile
SUP_9590,Prime Chemicals,ING_95225,Sodium Hypochlorite,7647-01-0,97.98%,BN_6936_03,Liquid,13.74,Irritant,Soluble in water,Avoid sunlight,5.34%,REACH Compliant,26 months,9 working days,Limited Stock,₹993.90 / unit,https://supplierportal.com/SDS/4847,Hazardous Material
SUP_5708,Global Chem Ltd,ING_34155,Ammonium Chloride,12125-02-9,95.83%,BN_6933_09,Liquid,8.26,Corrosive,Insoluble,Avoid sunlight,3.17%,REACH Compliant,8 months,11 working days,In Stock,₹377.80 / unit,https://supplierportal.com/SDS/9390,Hazardous Material
SUP_9879,ABC Chemicals Pvt Ltd,ING_66314,Hydrochloric Acid,7681-52-9,96.80%,BN_8293_10,Solid,10.09,Non-Toxic,Insoluble,Stable under 25°C,2.48%,Non-Compliant,9 months,8 working days,Limited Stock,₹568.92 / unit,https://supplierportal.com/SDS/3639,Fragile
SUP_2470,Global Chem Ltd,ING_91536,Citric Acid,7681-52-9,90.11%,BN_6528_04,Solid,12.31,Irritant,Soluble in water,Keep refrigerated,8.86%,Non-Compliant,15 months,6 working days,Out of Stock,₹704.79 / unit,https://supplierportal.com/SDS/5696,Hazardous Material
SUP_9788,ABC Chemicals Pvt Ltd,ING_90938,Ammonium Chloride,7664-93-9,99.05%,BN_5312_09,Solid,9.78,Non-Toxic,Soluble in water,Avoid sunlight,4.91%,Non-Compliant,14 months,4 working days,Limited Stock,₹752.19 / unit,https://supplierportal.com/SDS/6505,Fragile
SUP_9843,XYZ Suppliers,ING_67017,Ammonium Chloride,7647-01-0,94.83%,BN_1701_10,Liquid,10.26,Non-Toxic,Insoluble,Keep refrigerated,9.90%,REACH Compliant,28 months,9 working days,In Stock,₹164.00 / unit,https://supplierportal.com/SDS/6051,Fragile
SUP_4253,Global Chem Ltd,ING_62873,Ammonium Chloride,7664-93-9,95.55%,BN_6031_01,Liquid,13.06,Corrosive,Partially soluble,Stable under 25°C,5.92%,Non-Compliant,28 months,13 working days,Out of Stock,₹794.16 / unit,https://supplierportal.com/SDS/2755,Fragile
SUP_6754,XYZ Suppliers,ING_53135,Ammonium Chloride,77-92-9,97.37%,BN_8467_08,Solid,6.23,Irritant,Partially soluble,Keep refrigerated,1.32%,Non-Compliant,7 months,11 working days,In Stock,₹231.76 / unit,https://supplierportal.com/SDS/7528,Handle with care
SUP_2904,XYZ Suppliers,ING_99759,Hydrochloric Acid,7647-01-0,95.20%,BN_4646_09,Gas,7.96,Irritant,Insoluble,Stable under 25°C,9.39%,REACH Compliant,25 months,10 working days,Out of Stock,₹544.26 / unit,https://supplierportal.com/SDS/1444,Fragile
SUP_6965,Prime Chemicals,ING_97312,Ammonium Chloride,12125-02-9,99.33%,BN_6027_10,Gas,1.68,Corrosive,Soluble in water,Avoid sunlight,9.86%,Non-Compliant,31 months,13 working days,Limited Stock,₹312.86 / unit,https://supplierportal.com/SDS/8818,Hazardous Material
SUP_1971,Global Chem Ltd,ING_45914,Citric Acid,12125-02-9,95.05%,BN_7868_07,Solid,7.75,Irritant,Soluble in water,Avoid sunlight,5.09%,Non-Compliant,33 months,3 working days,Out of Stock,₹803.17 / unit,https://supplierportal.com/SDS/3471,Hazardous Material
SUP_8883,ABC Chemicals Pvt Ltd,ING_37039,Hydrochloric Acid,77-92-9,97.37%,BN_7000_11,Liquid,9.5,Non-Toxic,Insoluble,Avoid sunlight,4.23%,REACH Compliant,6 months,13 working days,In Stock,₹897.18 / unit,https://supplierportal.com/SDS/3695,Hazardous Material
